"Index","Name","Url","Status","UpdatedAt"
"61","Nora The Herpetologist - Custom NPC for East Scarp","https://www.nexusmods.com/stardewvalley/mods/18176","done","2026-07-12 12:27:53"
"62","Part of the Community","https://www.nexusmods.com/stardewvalley/mods/923","link-ok","2026-07-12 12:20:49"
"63","Predict Reaction To Gift","https://www.nexusmods.com/stardewvalley/mods/28556","done","2026-07-12 12:27:53"
"64","Quest Helper","https://www.nexusmods.com/stardewvalley/mods/41150","link-ok","2026-07-12 12:20:50"
"65","Relocate Buildings And Farm Animals","https://www.nexusmods.com/stardewvalley/mods/20606","done","2026-07-12 12:27:53"
"66","Remapping - Minimap Project","https://www.nexusmods.com/stardewvalley/mods/29049","done","2026-07-12 12:27:53"
"67","Ridgeside Village","https://www.nexusmods.com/stardewvalley/mods/7286","done","2026-07-12 12:27:53"
"68","SMAPI - Stardew Modding API","https://www.nexusmods.com/stardewvalley/mods/2400","link-ok","2026-07-12 12:20:52"
"69","Seasonal  Mariner To Mermaid","https://www.nexusmods.com/stardewvalley/mods/22799","done","2026-07-12 12:27:53"
"70","Seasonal Cute Characters for East Scarp","https://www.nexusmods.com/stardewvalley/mods/16045","done","2026-07-12 12:27:53"
"71","Seasonal Outfits - Slightly Cuter Aesthetic","https://www.nexusmods.com/stardewvalley/mods/5450","done","2026-07-12 12:27:53"
"72","Seasonal Outfits - Slightly Cuter Aesthetic for SVE","https://www.nexusmods.com/stardewvalley/mods/5969","done","2026-07-12 12:27:53"
"73","Seasonal Outfits for Ridgeside Village","https://www.nexusmods.com/stardewvalley/mods/18202","done","2026-07-12 12:27:53"
"74","SinZational Speedy Solutions","https://www.nexusmods.com/stardewvalley/mods/37301","link-ok","2026-07-12 12:20:54"
"75","Sitting Restores Energy (Improved - Fixed - Sit and Rest For Stamina)","https://www.nexusmods.com/stardewvalley/mods/42891","done","2026-07-12 12:27:53"
"76","Skip or Socialize - Replace Skip Button For Important Events (Dialogue Helper - UI Support)","https://www.nexusmods.com/stardewvalley/mods/42940","done","2026-07-12 12:27:53"
"77","Social Page Order Redux","https://www.nexusmods.com/stardewvalley/mods/23374","done","2026-07-12 12:27:53"
"78","Solarium at the Spa Revisited","https://www.nexusmods.com/stardewvalley/mods/42636","done","2026-07-12 12:27:53"
"79","SpaceCore","https://www.nexusmods.com/stardewvalley/mods/1348","done","2026-07-12 12:27:53"
"80","Spouses React to Player 'Death'","https://www.nexusmods.com/stardewvalley/mods/7493","done","2026-07-12 12:27:53"
"81","Standardized Seed Sprites","https://www.nexusmods.com/stardewvalley/mods/21305","done","2026-07-12 12:27:53"
"82","Stardew Valley Expanded","https://www.nexusmods.com/stardewvalley/mods/3753","done","2026-07-12 12:27:53"
"83","Stardew Valley VERY Configured (1.6)","https://www.nexusmods.com/stardewvalley/mods/20870","link-ok","2026-07-12 12:20:58"
"84","StardewUI Continued","https://www.nexusmods.com/stardewvalley/mods/43861","done","2026-07-12 12:27:53"
"85","Sword and Sorcery - A Fantasy Expansion for East Scarp","https://www.nexusmods.com/stardewvalley/mods/12369","done","2026-07-12 12:27:53"
"86","They Deserve It Too - Portraits for Extras","https://www.nexusmods.com/stardewvalley/mods/35358","done","2026-07-12 12:27:53"
"87","They Deserve It Too - Portraits for Vendors","https://www.nexusmods.com/stardewvalley/mods/20414","done","2026-07-12 12:27:53"
"88","Tidy Pam (Content Patcher)","https://www.nexusmods.com/stardewvalley/mods/2306","done","2026-07-12 12:27:53"
"89","Tiny Totem Statue Obelisks","https://www.nexusmods.com/stardewvalley/mods/23118","done","2026-07-12 12:27:53"
"90","Trinket Tinker","https://www.nexusmods.com/stardewvalley/mods/29073","done","2026-07-12 12:27:53"
"91","UI Info Suite 2 Alternative","https://www.nexusmods.com/stardewvalley/mods/43127","done","2026-07-12 12:27:53"
"92","Unlockable Bundles","https://www.nexusmods.com/stardewvalley/mods/17265","link-ok","2026-07-12 12:21:02"
"93","World Maps everywhere","https://www.nexusmods.com/stardewvalley/mods/24210","link-ok","2026-07-12 12:21:03"
"94","World Navigator","https://www.nexusmods.com/stardewvalley/mods/28256","done","2026-07-12 12:27:53"
"95","Yagisan's Custom NPCs for NPC Map Locations","https://www.nexusmods.com/stardewvalley/mods/8174","done","2026-07-12 12:27:53"
"96","Stardew Valley VERY Expanded Collection","","link-failed","2026-07-12 12:21:09"
